llave_persona,P203,P207,Edad,Ocupado,Informal,Billetera,CreditoFormal_2024,FACTOR07,P301A,CreditoFormal_2025
15069-95-11-3,5,1,12.0,0,,0,0,302.895935058594,4.0,0
15070-8-11-1,1,2,57.0,1,0.0,0,1,283.740692138672,4.0,1
15070-8-11-2,3,1,34.0,1,0.0,0,1,283.740692138672,6.0,1
15070-8-11-3,3,2,23.0,1,0.0,0,0,283.740692138672,3.0,0
15070-8-11-4,3,1,26.0,1,1.0,1,1,283.740692138672,5.0,0
15070-8-11-5,5,2,17.0,1,1.0,0,0,283.740692138672,5.0,0
15070-8-11-6,7,2,16.0,0,,0,0,283.740692138672,,0
15070-28-11-1,1,1,61.0,1,1.0,0,0,283.740692138672,3.0,0
15070-28-11-2,2,2,60.0,1,0.0,0,0,283.740692138672,3.0,0
15070-28-11-3,3,1,37.0,0,,0,0,283.740692138672,,0
15070-88-11-1,1,1,77.0,1,1.0,0,0,283.740692138672,4.0,0
15070-88-11-2,2,2,71.0,1,0.0,0,0,283.740692138672,3.0,0
15070-88-11-3,0, ,,0,,0,0,283.740692138672,,0
15070-108-11-1,1,2,51.0,1,1.0,0,0,283.740692138672,3.0,0
15070-108-11-2,2,1,57.0,1,1.0,0,1,283.740692138672,4.0,0
15070-108-11-3,3,2,26.0,1,0.0,1,1,283.740692138672,10.0,0
15070-108-11-4,3,1,17.0,1,1.0,0,0,283.740692138672,6.0,0
15070-108-11-5,0, ,,0,,0,0,283.740692138672,,0
15070-108-11-6,0, ,,0,,0,0,283.740692138672,,0
15070-108-11-7,0, ,,0,,0,0,283.740692138672,,0
15070-128-11-1,1,1,30.0,1,1.0,0,1,283.740692138672,6.0,0
15070-128-11-2,2,2,26.0,1,1.0,0,0,283.740692138672,5.0,0
15070-128-11-3,3,2,5.0,0,,0,0,283.740692138672,2.0,0
15071-2-11-1,1,1,41.0,1,1.0,1,0,318.304809570313,6.0,0
15071-2-11-2,2,2,40.0,1,1.0,0,0,318.304809570313,6.0,0
15071-2-11-3,3,1,17.0,1,1.0,0,0,318.304809570313,6.0,0
15071-2-11-4,3,2,10.0,0,,0,0,318.304809570313,3.0,0
15071-2-11-5,3,2,21.0,1,0.0,1,0,318.304809570313,9.0,0
15071-2-11-6,5,1,3.0,0,,0,0,318.304809570313,1.0,0
15071-2-11-7,6,1,67.0,1,1.0,0,0,318.304809570313,5.0,1
15071-20-11-1,1,1,80.0,1,0.0,0,0,318.304809570313,4.0,0
15071-20-11-2,2,2,68.0,1,0.0,0,0,318.304809570313,3.0,0
15071-32-11-1,1,2,34.0,1,1.0,0,0,318.304809570313,5.0,0
15071-32-11-2,3,2,15.0,1,1.0,0,0,318.304809570313,5.0,0
15071-32-11-3,3,2,13.0,0,,0,0,318.304809570313,5.0,0
15071-32-11-4,3,2,11.0,0,,0,0,318.304809570313,3.0,0
15071-32-11-5,3,2,8.0,0,,0,0,318.304809570313,3.0,0
15071-32-11-6,3,1,0.0,0,,0,0,318.304809570313,,0
15071-32-11-7,0, ,,0,,0,0,318.304809570313,,0
15071-32-11-8,0, ,,0,,0,0,318.304809570313,,0
15071-32-11-9,0, ,,0,,0,0,318.304809570313,,0
15071-32-11-10,0, ,,0,,0,0,318.304809570313,,0
15071-117-11-1,1,1,81.0,1,0.0,0,0,318.304809570313,3.0,0
15071-117-11-2,2,2,80.0,1,1.0,0,0,318.304809570313,3.0,0
