CONGLOME,VIVIENDA,HOGAR,CODPERSO,P203,P207,P208A,P301A,P301B,P507,P510A1,P511A,P512A,P558E1_4,P558E1_8,P558E1_9,DOMINIO,ESTRATO,PANEL,FACTOR07,MIEPERHO,llave_persona,Edad,Ocupado,P510A1_num,P511A_num,P507_num,Informal,CreditoFormal_2024,Billetera,CreditoFormal_2025,P203_num,Ocupado_num,CreditoFormal_2024_num,CreditoFormal_2025_num,Informal_num,NuevoCredito
15098,24,11,1,1,1,68,4.0,5,2,3, ,1,0.0,0.0,0.0,4,6,1,80.3816604614258,2,15098-24-11-1,68.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15098,32,11,1,1,1,56,5.0,2,2,3, ,1,0.0,0.0,0.0,4,6,1,80.3816604614258,1,15098-32-11-1,56.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15098,50,11,1,1,1,59,3.0,0,2,3, ,1,0.0,0.0,0.0,4,6,1,80.3816604614258,4,15098-50-11-1,59.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15098,67,11,1,1,1,56,4.0,0,4,3,7,1,0.0,0.0,0.0,4,6,1,80.3816604614258,2,15098-67-11-1,56.0,1,3.0,7.0,4.0,1.0,0,0,0,1,1,0,0,1.0,0
15098,76,11,1,1,1,71,4.0,5, , , , ,0.0,0.0,0.0,4,6,1,80.3816604614258,3,15098-76-11-1,71.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
15098,85,11,1,1,1,62,4.0,5,2,3, ,1,0.0,0.0,0.0,4,6,1,80.3816604614258,4,15098-85-11-1,62.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15099,74,11,1,1,1,37,4.0,0,2,3, ,1,0.0,8.0,0.0,4,7,1,78.585823059082,5,15099-74-11-1,37.0,1,3.0,,2.0,1.0,0,1,0,1,1,0,0,1.0,0
15099,158,11,1,1,1,49,3.0,0,2,3, ,1,0.0,0.0,0.0,4,7,1,78.585823059082,3,15099-158-11-1,49.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15099,159,11,1,1,1,75,4.0,5,2,3, ,1,0.0,0.0,0.0,4,7,1,78.585823059082,2,15099-159-11-1,75.0,1,3.0,,2.0,1.0,0,0,0,1,1,0,0,1.0,0
15099,160,11,1,1,2,89,1.0, , , , , ,0.0,0.0,0.0,4,7,1,78.585823059082,1,15099-160-11-1,89.0,1,,,,0.0,0,0,0,1,1,0,0,0.0,0
